    234,762,632  GC Heap bytes
      2,554,170  GC Heap objects

   Object Bytes     Count  Type
         12,312         2  System.Reflection.Emit.__FixupData[] (Bytes > 10K)  [System.Private.CoreLib.dll]
         10,872         2  Microsoft.AspNetCore.Http.Endpoint[] (Bytes > 10K)  [Microsoft.AspNetCore.Http.Abstractions.dll]
         10,368         5  Entry<System.String,System.String>[] (Bytes > 10K)  [System.Private.CoreLib.dll]
         10,368         1  Entry<System.String,System.Collections.Generic.IList<Morestachio.Formatter.Framework.MorestachioFormatterModel>>[] (Bytes > 10K)  [System.Private.CoreLib.dll]
         10,368         1  Entry<System.Xml.Serialization.NameKey,System.Object>[] (Bytes > 10K)  [System.Private.CoreLib.dll]
         10,256         7  MediaBrowser.Controller.Entities.LinkedChild[] (Bytes > 10K)  [MediaBrowser.Controller.dll]
          9,264         4  System.Text.Encodings.Web.OptimizedInboxTextEncoder (Bytes > 1K)  [System.Text.Encodings.Web.dll]
          8,644         2  Entry<System.Int16,Mono.Cecil.Cil.OpCode>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          8,644         1  Entry<System.Int16,System.Reflection.Emit.OpCode>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          8,216       753  System.Byte[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          8,216        23  MS.Internal.Xml.Cache.XPathNode[] (Bytes > 1K)  [System.Private.Xml.dll]
          8,216         4  ICU4N.Text.TransliterationRule[] (Bytes > 1K)  [ICU4N.Transliterator.dll]
          8,216         1  Microsoft.AspNetCore.Mvc.Abstractions.ActionDescriptor[] (Bytes > 1K)  [Microsoft.AspNetCore.Mvc.Abstractions.dll]
          8,216         1  Microsoft.AspNetCore.Http.Endpoint[] (Bytes > 1K)  [Microsoft.AspNetCore.Http.Abstractions.dll]
          8,216         1  ICU4N.Util.CaseInsensitiveString[] (Bytes > 1K)  [ICU4N.dll]
          7,904        48  Entry<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey,System.Object>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          7,904         5  Entry<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceIdentifier,Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteFactory+ServiceDescriptorCacheItem>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          7,376         2  VolatileNode<System.Type,System.ComponentModel.ReflectTypeDescriptionProvider+ReflectedTypeData>[] (Bytes > 1K)  [System.Collections.Concurrent.dll]
          7,376         1  VolatileNode<System.Type,Microsoft.Extensions.DependencyInjection.ActivatorUtilities+ConstructorInfoEx[]>[] (Bytes > 1K)  [System.Collections.Concurrent.dll]
          7,376         1  VolatileNode<System.Object,Microsoft.Extensions.Caching.Memory.CacheEntry>[] (Bytes > 1K)  [System.Collections.Concurrent.dll]
          7,376         1  VolatileNode<System.Type,System.Func<System.Linq.Expressions.ParameterExpression,System.Linq.Expressions.Expression,System.Linq.Expressions.Expression>>[] (Bytes > 1K)  [System.Collections.Concurrent.dll]
          7,376         1  VolatileNode<System.Object,Newtonsoft.Json.JsonConverterAttribute>[] (Bytes > 1K)  [System.Collections.Concurrent.dll]
          6,328         4  Entry<System.String,System.Resources.ResourceLocator>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          5,800         1  ICU4N.Globalization.UCultureInfo[] (Bytes > 1K)  [ICU4N.dll]
          5,144         3  Entry<J2N.AssemblyExtensions+TypeAndResource,System.String>[] (Bytes > 1K)  [J2N.dll]
          5,072         1  VolatileNode<System.String,BitFaster.Caching.Lru.LruItem<System.String,MediaBrowser.Controller.Entities.UserItemData>>[] (Bytes > 1K)  [System.Collections.Concurrent.dll]
          4,752         7  Bucket[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,752         6  Entry<System.Xml.Serialization.NameKey,System.Object>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,752         1  Entry<System.Int32,System.Text.Encoding>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,752         1  Entry<System.String,System.Collections.Generic.List<System.Type>>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,752         1  Entry<System.Reflection.MethodInfo,System.Reflection.MethodInfo>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,752         1  Entry<Microsoft.CSharp.RuntimeBinder.SymbolTable+NameHashKey>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
